"YBL103C"	"YKL112W"	"YDR216W"	"YMR280C"	"YER040W"	"YGR142W"	"YNL036W"	"YML123C"	"YHR136C"	"YDR171W"	"YCR021C"	"YGR043C"	"YHR018C"	"YAL054C"	"YFL014W"	"YOR348C"	"YDL170W"	"YBR054W"	"YCR010C"	"YDR384C"	"YER150W"	"YPL061W"	"YKR075C"	"YLR009W"	"YPL111W"	"YOR388C"	"YJL172W"	"YPL012W"	"YOR100C"	"YMR169C"	"YNR046W"	"YJR110W"	"YMR193W"	"YGL254W"	"YLR174W"	"YER002W"	"YDL018C"	"YIL136W"	"YGR183C"	"YER158C"	"YJR148W"	"YNR064C"	"YGR067C"	"YPL265W"	"YKR056W"	"YCL064C"	"YJL063C"	"YDL160C"	"YIL037C"	"YLR327C"	"YDL091C"	"YHR051W"	"YHL028W"	"YMR229C"	"YOR206W"	"YJR094C"	"YIL155C"	"YJL088W"	"YLL011W"	"YNR028W"	"YDR043C"	"YDR258C"	"YKL071W"	"YNL194C"	"YLR276C"	"YLR438W"	"YNL037C"	"YKR009C"	"YKL015W"	"YGL009C"	"YPR002W"	"YDR361C"	"YLL033W"	"YOR302W"	"YNL270C"	"YFR022W"	"YAL062W"	"YDR523C"	"YPL036W"	"YJL217W"	"YOR056C"	"YBL042C"	"YLR130C"	"YLR267W"	"YHR029C"	"YOL014W"	"YNR053C"	"YLR258W"	"YDR380W"	"YLL034C"	"YDL110C"	"YER067W"	"YLR178C"	"YGL229C"	"YOR032C"	"YHR216W"	"YJL153C"	"YKL040C"	"YHR087W"	"YKL062W"
"YBL103C"	0.013959072392941	0.000463669707692097	0.00295759005793745	0.00129814258047372	0.00287544527475377	0.000277766456393166	0.00197847289887084	0.000280563226606606	0.000234603453810556	0.000573383200857819	0.000269058577216652	0.000310425034731692	0.00200077507852493	0.000151624133892342	0.000523864526428642	0.000109293694067013	0.00107162199107295	0.000390839263505523	0.000270229643441722	0.000166021264288962	0.000388373324163903	0.000225038138312405	0.000285141581019957	0.000172770145657702	0.000172194258470243	0.000182836346519635	0.000421709806447273	0.000467878546794769	0.000187526025862543	0.000365280863735667	0.0001525266032073	0.000797003694498401	0.00273121133512261	0.00058938505995936	0.000309036848388913	0.00364157895262346	0.000493720664352592	0.000182339661576536	0.000175088147605779	0.000102687455886076	0.000482138380823304	0.00012520202300358	0.000216683014352544	0.000264184035587693	0.000215142291503844	8.27386253105221e-05	0.000135522748914797	0.00026570054897942	0.000719980431709629	0.000820653035228801	0.000124475392664005	0.000199404593401193	8.71392482317179e-05	0.00102357488173913	0.000622806542085693	0.000325588896457776	0.000111780360649424	0.000728157061865837	0.00014125877972353	7.88454737135737e-05	0.000500646641668245	0.0004401284920942	0.00854376119469851	0.000217476774890722	0.00203931829059716	0.000135169423256471	0.00102914700162635	0.000815943626328368	0.00130031235376549	0.000604203782433384	0.000415677388532434	0.000304675741530481	0.000113942448582658	0.000347546001340394	7.35831433600304e-05	0.00014592688277427	0.000139454650753836	0.000337615814733588	0.000283694946124033	0.000420760358109899	0.000209230388541624	0.000101561595956486	6.48922819023086e-05	0.000969908869908183	0.00135866648760089	0.000137372612130545	0.00020356138455853	0.00028850377596591	0.000160755950804505	0.000158107805550836	0.000219465480931395	0.000419929110085194	0.000470140343292764	0.000237294057834032	0.000248533532153739	0.000138010752024658	0.000119388729313729	0.00118019719865157	0.000339091675100348	0.000399359050284066
"YKL112W"	0.000351073020568921	0.0363147443530043	0.000814291809329934	0.00705752043527547	0.000530411130851446	0.000202083615066014	0.00740732756499589	0.000417762627890283	0.000333949945547766	0.00021489590032559	0.000253005687196944	0.000173747815169926	0.000103687494387409	0.00852058224178237	0.000524024550437717	0.000169915305738221	0.00029020048648729	0.000403534261227718	0.000164221800584361	0.00225580616488158	0.000157386988333193	0.000485706306383837	0.000875458111338292	0.000323970404469868	0.000497006922094688	0.000148666222743195	0.000166173930004137	0.00801122601221218	0.000139235546385993	0.000252720371634247	0.00646504516123917	0.000121560224146447	0.000242272424099456	0.000497134741059017	0.00414972878099198	0.000252901649897466	0.000528501177073026	0.000171842984653965	0.00327524478128787	0.000721037436253644	0.000122891882010887	0.000205054298510852	0.000834231459472998	0.000195884215489067	0.0195496642178391	0.000364053884646978	0.00271342619630655	0.00684865533471782	0.00204091761720703	0.000193621433709331	0.000368163743480542	0.00324527357112535	0.00425274322456732	0.000842488826969462	0.0108616144628791	0.000144590758885308	0.000118772279803616	8.54846595671314e-05	0.00340002329988165	0.000258306598486049	0.000254724843910584	0.000288091954154346	0.00019077427821994	0.000160526569551545	0.000631109309930643	0.000128890605328424	0.00482189994686969	0.000210859499427821	0.0117468880747422	0.000216949432745412	0.000154519725176071	0.0183112880230527	0.0131494354309791	0.000128165807248907	0.000344828074638442	0.000108999833741818	8.3888183641195e-05	0.000168830335024287	0.00832105377065763	0.000117164919518949	0.00964438853126444	0.00188345225937879	0.000279439129927632	5.93586518715318e-05	0.000135082961173789	0.000111148318373595	0.00492167396679066	0.000246163178080606	0.000233445562734302	0.0113560841421362	0.000219555446466432	0.000180445594334658	0.000262991676818347	0.00173255523706432	0.000165518452505134	0.000213036645945081	0.00236139999933778	0.0011068111191816	0.000309328265023831	0.0016305302711642
"YDR216W"	0.00138147011228776	0.000769491298854365	0.014099180159948	0.0123356398440226	0.00115742819475574	0.000622751291852657	0.000574435103665429	0.00019141034976569	0.000218160896977965	0.00115791545282464	0.000771713321770048	0.000825358814934134	0.000453665176645044	0.000897064099149795	0.00140067616873921	0.000822568480936879	0.00209315476455046	0.000887360963385339	0.00106196495208203	0.000622721007748566	0.00866938728494652	0.000603873017099293	0.00188851148875824	0.000214677516680442	0.000381098871904778	0.00121239125486826	0.00159204555914725	0.000366435642669481	0.000682719308517732	0.00517566654003073	0.000634600595498961	0.000730608232460306	0.000610268703500179	0.000701056642808858	0.000589690498498082	0.000200471066176632	0.0130187541033575	0.00231008479023916	0.000742712407113951	0.0015980926879197	0.00053454339151976	0.00156454476819763	0.00106921878785613	0.00061518292656702	0.000232254167218985	0.000334819313673881	0.00115553274691645	0.0640492639252399	0.000377078783687516	0.00198979732092942	0.00235722569306312	0.00101693684110385	0.00125174672314944	0.000785985547912806	0.00245790867940075	0.00124186415039212	0.000932391587216621	0.000503776844587072	0.000313269425305061	0.00034747042768122	0.00476386754739883	0.00106451441971841	0.012031521724662	0.000614074356205627	0.000426869046072248	0.000731968976026753	0.000704337436641725	0.00026305944149187	0.0151605293111027	0.000424214953260973	0.00119815171064965	0.000230216591182032	0.000279766672834255	0.000389356496631215	0.00125490859452425	0.000586519964967878	0.00287792758270012	0.000271074490305395	0.000554610891640229	0.00117672513981877	0.0220901204398032	0.000621492147521044	0.000582238942509844	0.000669578449427532	0.000310022788498355	0.000460526251500846	0.000275645329551336	0.00151674932394759	0.000265862685727355	0.000836649660219966	0.00148997499581668	0.0106648058117244	0.00197576668451108	0.000895872083923343	0.0015905156044669	0.00033758674836337	0.000565888005575587	0.000456024113776073	0.00146239675393392	0.00557743835378763
"YMR280C"	0.00131940653867656	0.00174152668566515	0.0061966833858153	0.0168326851084642	0.00333340436880664	0.00119226864143691	0.00120881781262669	0.00045968038834712	0.000469838932791552	0.00156281576387984	0.000856734865313582	0.00144732443697908	0.000738507174765822	0.00141105076321785	0.00173453612758478	0.00106953190969238	0.00404159769664572	0.000943285004794734	0.00142536687714047	0.000892304870516414	0.00251544473231765	0.00062339577267521	0.00268442458081062	0.000609471848838015	0.000580837986477179	0.00347646448661162	0.00141222112153829	0.00085445732333219	0.000880510769559261	0.00140919473007191	0.00121531219698993	0.000810919378286755	0.00115201690375503	0.00253495019628274	0.000858788021230268	0.00121065623895343	0.000809922747155966	0.00217648001681705	0.00148024607877809	0.00188234262729082	0.00134106975100155	0.00353818948925809	0.00136262942005722	0.000541486969821099	0.000477603019993878	0.000349705942912043	0.00110971266762989	0.00216740740721934	0.00121216456797338	0.00160983823152881	0.00113984488295141	0.000836042926191366	0.00105434302174334	0.000393186812167655	0.000497949934935203	0.00229730852600694	0.00223500880165149	0.00167319803730542	0.000636814399462544	0.000453226431659585	0.00553974167554113	0.000960435933369581	0.00125788316632546	0.000925281037802564	0.000608423905360148	0.00182986517878551	0.000814081460667345	0.00100090723741989	0.00167354531775094	0.0005519521064796	0.00109128312015076	0.000489151710827796	0.000626874244570466	0.0010767652621713	0.0013721943319699	0.00204214255389816	0.00141097621497017	0.0014855859981412	0.000357933620442543	0.00108208860648675	0.000889174402721365	0.000928148367150093	0.000470978598598016	0.00138673207183888	0.000651122140497802	0.000790046103208761	0.000819692906034101	0.00121312141954125	0.00102450826362561	0.000879764749050989	0.00176065204554213	0.000833952589490598	0.00225174823759106	0.000493122917460635	0.0040451560956021	0.000431735615003275	0.00157514359884857	0.000467887611020321	0.00215123864265356	0.00387268834724218
"YER040W"	0.00392102162366801	0.000750281743488235	0.00162840299987821	0.00358428739526839	0.0100999198439637	0.000451194184632186	0.00170867941189328	0.000318296117268192	0.000316853042825773	0.00139737113345985	0.000785652901446606	0.000794097323426722	0.00248527431221267	0.000396367070713254	0.00167050667039703	0.000304121093484523	0.969032403572351	0.000558160868266418	0.00053106427240043	0.000105516254456457	0.000955895383060796	0.000191301553460475	0.000377845543163193	0.000135552199255045	0.000378614317069065	0.000350359420595858	0.00119937444489727	0.000430499519765968	0.000403183337113718	0.00175873804112683	0.000171355682743406	0.000916147921638044	0.000283842645821794	0.00128064927597135	0.000823044329511587	0.000537351997465911	0.000145319755820838	0.000463602855584874	0.000719921524902286	0.000366934933846666	0.00115929652822074	0.000294130040423472	0.000379808640415336	0.000601843400960463	0.000154691532657697	9.43309906091744e-05	0.00014787091979444	0.000348186275492972	0.00020732831349597	0.00167019582422191	0.00315636023789523	0.000411333736723841	0.000121450234389916	0.000486807904934677	0.000489352420236421	0.000498874075962269	0.00058944184577863	0.00155255422898527	0.000142408604131206	8.95736106254085e-05	0.00119925259622068	0.000986719266641237	0.00103591047007434	0.000514807653866318	0.000183204115408676	0.000415446234548272	0.000999043849228425	0.000307246713124434	0.0013133786587199	0.000528115170807865	0.00112510280081638	0.00127943715205251	0.000622234564694024	0.000660550986947406	0.000181298691110365	0.00019733885627327	0.000236594737856952	0.00385225488313258	0.000257336841905131	0.000535492936155414	0.000261672259692217	0.000108396763240774	4.26689617037811e-05	0.00109380395373347	0.00292521624859804	7.45543739831683e-05	0.0002359396580843	0.000560109103897227	0.000461397816847011	0.000242548863940314	0.000711578653782078	0.000561819739770446	0.00108579193938533	0.000349762919828998	0.000857964945522464	6.8971511284891e-05	0.000336064247131248	0.00280068682654191	0.00158392730120564	0.00101064930732174
"YGR142W"	1.10513604616866e-05	8.04766703125133e-06	2.33663052744149e-05	2.19638921557659e-05	1.43192057464602e-05	0.000210981221363615	1.0816071917899e-05	9.18117040280471e-06	1.1065565759502e-05	8.01022016803895e-05	4.6835015303186e-05	1.93333928852417e-05	8.93258613863292e-06	2.19197766640302e-05	2.17048396592501e-05	2.62758515091641e-05	1.07419948111888e-05	1.90196271639183e-05	1.21699156427853e-05	6.89283799068236e-06	2.79592849330888e-05	1.9246657945549e-05	3.9931701321827e-05	9.34551676735007e-06	1.39497977128437e-05	2.93581685627036e-05	1.21669697140067e-05	2.50681510304016e-05	3.06595183637063e-05	2.56309666186953e-05	8.07044614058664e-06	2.15280260992959e-05	1.93857104525018e-05	1.59783384475038e-05	2.19878222791768e-05	1.03041747270935e-05	1.40674414486423e-05	4.06682105374146e-05	3.24779505231942e-05	4.67753999583349e-05	1.44617512157538e-05	1.15571566481664e-05	1.05713515830069e-05	1.65737535700406e-05	8.01529849218276e-06	2.72833546339662e-05	1.35613022166874e-05	1.64243132616378e-05	1.55205337172334e-05	2.2523209875493e-05	2.62101251720005e-05	3.48674694790924e-05	2.30186156356848e-05	1.40222887535837e-05	1.41636565082018e-05	2.42489993749225e-05	2.4000020539528e-05	1.08862119511714e-05	1.00575911913507e-05	1.27271853229433e-05	3.45517628295313e-05	3.1911592353384e-05	1.61221212159938e-05	2.85421158394423e-05	9.86717956956722e-06	1.80859198815223e-05	1.3389662211261e-05	2.6346209487591e-05	1.30571610291481e-05	8.35421412903605e-06	2.50435446482296e-05	1.04204384295855e-05	7.53040765953087e-06	6.83917274972842e-06	2.68097090640629e-05	1.94168258619255e-05	1.5420974752989e-05	1.49475273909454e-05	9.05128498686768e-06	3.7714644752802e-05	1.52887355134776e-05	1.64075112623087e-05	1.73020398171229e-05	1.18864442538294e-05	7.63161292021822e-06	2.43952725856384e-05	1.05660951829613e-05	3.08610314248716e-05	2.45043133794878e-05	1.5347523568169e-05	1.91108142638327e-05	4.29045889685692e-05	2.07908526446172e-05	1.32699141639206e-05	2.24867100305575e-05	1.134657062825e-05	1.72879269282332e-05	1.65170992184676e-05	2.43661234046397e-05	5.31711432593159e-05
"YNL036W"	8.85556243240201e-05	2.5404596644052e-05	5.23728856126126e-05	5.43922408655685e-05	0.000131107353082122	2.63875052441121e-05	0.000626146596480781	3.6994507229178e-05	4.3700930952757e-05	6.03338432992351e-05	2.43850716625099e-05	6.59309813235355e-05	0.000124491702792802	3.24735771948896e-05	0.000205752650302815	2.84708964048252e-05	8.04321398939108e-05	4.40749655666391e-05	2.72013372625808e-05	1.91103057811211e-05	4.37855946912054e-05	2.2745793172918e-05	3.50165990257658e-05	2.15292029064796e-05	5.69533201055877e-05	1.67343289878821e-05	6.58316590430945e-05	4.12492835815032e-05	3.38893060330621e-05	6.95678027515047e-05	1.81186352727027e-05	5.36667997816104e-05	2.45941518799646e-05	3.24160330476665e-05	5.08691330107891e-05	1.80644863881612e-05	1.11661705667772e-05	4.89711163089714e-05	4.77473772646777e-05	3.57000741328103e-05	8.11115820017864e-05	3.41533438012577e-05	3.39793424001215e-05	2.81672538744726e-05	1.68116814153734e-05	1.47424918959495e-05	2.0377319211096e-05	1.61452699283563e-05	1.89541745154207e-05	0.000124221075326686	2.06200296433801e-05	3.65641801079583e-05	9.13317620713267e-06	1.89402444106237e-05	2.95477646962358e-05	2.55824606101652e-05	5.90357105094703e-05	8.01586703516424e-05	2.77961784193688e-05	8.31179642622402e-06	4.52693846535687e-05	3.60834165982707e-05	4.3700847872195e-05	2.91121863532511e-05	1.98489289624321e-05	6.55498118032034e-05	4.64998014009724e-05	5.03039499786082e-05	6.60919622453657e-05	4.93415215026027e-05	8.87608026109945e-05	1.50507932158503e-05	2.3858255249903e-05	9.26793670815663e-05	1.95137107376218e-05	2.31110276707997e-05	4.80252767329504e-05	2.63248020728401e-05	1.82958512917325e-05	5.59626181456082e-05	3.08223453155528e-05	1.14935462935668e-05	7.25493868336237e-06	7.17071608542092e-05	0.000149663047547064	1.76156576585058e-05	4.13323517856006e-05	3.15083626835395e-05	5.37213314249478e-05	2.22453240609568e-05	8.40704991399997e-05	4.12947525329337e-05	7.40539819740924e-05	3.20347812449952e-05	3.34111320913018e-05	1.02357807444356e-05	2.17931863484775e-05	5.47124287957341e-05	5.58717770705295e-05	6.74334485651788e-05
"YML123C"	0.000278517102024159	0.000337713797421149	0.000157317916594691	0.000203481324413705	0.000212067209413591	0.000220341366400868	0.000364595756403542	0.0050860080263571	0.0015528926022705	0.000167368215134654	0.000229651089272298	0.000137684782811671	0.00034699577935025	0.000179026138227031	0.000218784019907504	0.000340646391912665	0.000250617821498042	0.000188102716226485	0.000231164211287654	0.000823138128837027	0.000162114659150055	0.000291890831141378	0.00015947966089617	0.000372977150462904	0.000148801893750708	0.000135253866207325	0.000277393651836609	0.000243681779517933	0.00017069408945878	0.000138727421331953	0.000326000130165863	0.000202483847475711	0.000121404617125675	0.000367888123223259	0.000157092540753579	0.000331755290107288	0.000164100410543248	0.000124330480802867	0.000203557504833918	9.2997342284366e-05	0.000181184713878784	0.000151114328938999	0.000130104864626811	0.000381936396431657	0.000374638584057185	0.000117943436196298	0.000113629262844221	0.000173455570227974	0.000141672694118502	0.000240925627326486	0.000108811566647831	0.000199132713049635	0.000226030059488644	0.000272286090240973	0.000538400280510209	0.000221488722572441	0.000129890287331334	0.000311004402501389	0.000323840015630195	0.000208099588968662	9.54899750274592e-05	0.000324884832144179	0.00018325545472823	0.000126788863223245	0.000349162964834012	0.000107023012032826	0.000205614506104453	0.00013232428652639	0.000393139632629009	0.000630675298257039	0.00043884663759839	0.000593287669084895	0.000232987384163268	0.00026174466014035	0.000155279991060196	9.86342568402659e-05	0.000247955634136999	0.00027637637855463	0.000838614818922317	0.000137431146227317	0.000234244392612969	0.000691764249258751	0.000371307649206691	0.000219479754386992	0.000330862560582423	0.000149391896801418	0.000510650435240511	9.78545941419783e-05	0.000117535633984771	0.000257807878552767	0.000145350827696768	0.000129098963479257	0.000228344275978671	0.000120494317288064	0.000169940913164981	0.000338101595048525	0.000170683366144054	0.000285850679760466	0.000157460533008854	7.67261915661373e-05
"YHR136C"	0.0001746643649859	0.000224849420080104	0.000113623333620703	0.0001535759830471	0.000177512466815576	0.000196311870161147	0.000318197579909507	0.00114777886790979	0.00252572534915841	0.000172860099687436	0.000138565934242301	9.62202683751827e-05	0.000281720058569498	0.000127273629184457	0.000166766981327577	9.15214996043762e-05	0.000121167016340459	0.000109664632778417	6.77457236806504e-05	0.000209360892702222	0.00010927244212339	0.000300126803360005	0.000103122917243152	0.000198868015075405	0.000178488811347256	0.000140405925787137	0.000176758613675825	0.000282408098156728	0.000136295324736387	0.000133612673493744	0.000202135934520425	0.000184698733703756	0.000114982613291552	0.000224943425982598	0.000166115010584632	0.000186470422326471	9.78403536470547e-05	9.36633579103362e-05	0.00010277610534946	5.09333545996752e-05	0.000170584521417685	8.47872787853264e-05	6.30994579056786e-05	0.000187401726311724	0.000188297156820399	0.000128593194336968	0.000137186946417772	0.000172703646243575	0.000106797108357717	0.000120079234605237	0.000106083315257618	0.000136923920741672	0.000102001314221989	0.000236513780141882	0.000258219354643982	9.64409719079288e-05	9.31669615098561e-05	0.000248556200467012	0.00016510720831525	0.000165197986426684	6.17467949135075e-05	0.00021406944332685	0.000150468229090705	9.35747650791349e-05	0.000194756764404041	0.000130017696519738	0.000234623152538788	0.000145218335244953	0.000174752386466813	0.000351733198950221	0.000310702674628727	0.000317398857019934	0.000134113913979121	0.000157173102858231	7.88734529290273e-05	8.50039514917523e-05	0.000106048472217424	0.000139419922816148	0.000261708711228142	0.000121426635650964	0.000190289481921793	0.000190563927900356	0.000109057176437769	0.000156778157377043	0.000207656724920212	0.000136608313916785	0.000223922795038633	0.000103277464465201	0.000145721265917392	0.000103750407170889	0.000108283119200467	0.000107200340490942	0.000196949771214868	8.59073241748969e-05	0.000111633438280958	0.000201907445464466	0.00010188401911326	0.000220532222737798	0.000126412216803961	6.80087714693564e-05
"YDR171W"	2.05609250298542e-05	8.95721832396609e-06	4.60701819789161e-05	3.10108499145705e-05	3.67064678597769e-05	8.6636472591842e-05	2.66776975306902e-05	7.47853711810899e-06	1.04659166560413e-05	0.000280672272130458	5.85300744133202e-05	4.01664444375461e-05	1.88805279577144e-05	5.06287688155885e-05	5.91161804229646e-05	3.14480467509596e-05	1.88046302093844e-05	4.01028695891963e-05	2.07386772954238e-05	5.29370813602944e-06	5.48196843410758e-05	1.80527102484632e-05	6.3348205338979e-05	5.7433625305377e-06	1.86425603043754e-05	3.70259830285554e-05	3.43212936605686e-05	1.18592873404972e-05	5.74887492265657e-05	5.29243848351325e-05	6.40467493535011e-06	3.02872712997716e-05	4.66138703627679e-05	1.11595711860457e-05	3.44927442806749e-05	8.19561579940869e-06	1.73520115443535e-05	0.000128233603191533	4.78980693281319e-05	0.00013259746159853	3.15587005687896e-05	2.49162167579642e-05	2.78122107416134e-05	1.8351033842959e-05	4.96630342167913e-06	2.3838682252078e-05	2.59213208060593e-05	1.4223951304244e-05	1.83389377941516e-05	6.20417153262495e-05	4.96588750979228e-05	4.71453457949307e-05	4.21905588259857e-05	6.7770932456886e-06	7.99866836705196e-06	2.93806522022185e-05	5.65475406979314e-05	2.86046213206075e-05	4.88952582606374e-06	1.07218164469948e-05	6.27714034863712e-05	3.7865773305248e-05	1.50263820522363e-05	3.84619883913942e-05	4.88475178343725e-06	3.52178965270852e-05	2.179420702392e-05	3.81423983136334e-05	1.14228184880093e-05	8.81579125321794e-06	4.61225779591597e-05	4.55420590289038e-06	9.29380119273907e-06	1.47588341030706e-05	3.74487431665125e-05	3.04025942414871e-05	2.48689116006028e-05	1.54681626374656e-05	7.92769500079965e-06	5.34577872445043e-05	1.17828363522936e-05	8.80758393022331e-06	9.44807848598853e-06	2.54420158706139e-05	1.78104820115973e-05	1.70871617687813e-05	7.01585102580903e-06	5.57306903847736e-05	3.08828022646992e-05	7.99074484066642e-06	6.04225297175783e-05	7.1818140607998e-05	7.51635814550054e-05	2.30432057733449e-05	5.02212407107804e-05	7.32163746959099e-06	3.41761555857748e-05	1.33024123195881e-05	4.8744596864199e-05	0.000131535935100457
